ChipID,Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
16,175414,1,1,5.9395,4.0697,0,1.3798,31,28,2,8770650,70150.0
17,178390,1,1,2.6584,-2.3299,0,1.2837,25,15,2,8919450,148800.0
1,180904,1,1,5.2637,-0.4238,0,1.6805,30,19,2,9045150,125700.0
17,181318,1,1,2.0368,-4.0735,0,1.9267,24,11,2,9065850,20700.0
19,183660,1,1,-0.9872,3.8793,0,1.8568,18,27,2,9182950,117100.0
6,185031,1,1,-7.0902,-6.3753,0,1.623,5,7,2,9251500,68550.0
11,185975,1,1,-9.935,5.3337,0,1.9398,0,30,2,9298700,47200.0
15,193705,1,1,6.7319,-4.5489,0,1.7276,33,10,2,9685200,386500.0
0,198998,1,1,-4.0151,-0.8223,0,1.6732,11,18,2,9949850,264650.0
0,200174,1,1,-5.1009,1.3149,0,1.831,9,22,2,10008650,58800.0
15,201245,1,1,2.9013,-2.6982,0,1.2212,25,14,2,10062200,53550.0
17,203341,1,1,-5.5212,-0.1554,0,1.0264,8,19,2,10167000,104800.0
14,209419,1,1,3.7232,-4.6575,0,1.3805,27,10,2,10470900,303900.0
10,218585,1,1,-1.5307,3.5302,0,1.2703,16,27,2,10929200,458300.0
15,230628,1,1,-4.9509,-7.3596,0,1.6719,10,5,2,11531350,602150.0
12,236552,1,1,5.0625,-8.2026,0,1.9415,30,3,2,11827550,296200.0
2,238135,1,1,6.3826,-2.198,0,1.5432,32,15,2,11906700,79150.0
4,245308,1,1,-0.961,2.922,0,1.4938,18,25,2,12265350,358650.0
12,248744,1,1,7.4136,0.8496,0,1.079,34,21,2,12437150,171800.0
13,249253,1,1,-0.6637,-1.1349,0,1.3315,18,17,2,12462600,25450.0
10,253627,1,1,3.8389,1.6694,0,1.3539,27,23,2,12681300,218700.0
0,257502,1,1,7.5658,0.7798,0,1.0383,35,21,2,12875050,193750.0
3,263215,1,1,3.1577,-8.1272,0,1.3509,26,3,2,13160700,285650.0
12,271655,1,1,7.4452,-7.2564,0,1.7663,34,5,2,13582700,422000.0
0,273013,1,1,-0.1446,-0.6622,0,1.4177,19,18,2,13650600,67900.0
0,274310,1,1,1.0195,1.6158,0,1.796,22,23,2,13715450,64850.0
15,281220,1,1,-4.424,-9.0143,0,1.3053,11,1,2,14060950,345500.0
3,285723,1,1,-6.5567,-9.7008,0,1.8673,6,0,2,14286100,225150.0
8,287101,1,1,2.9525,-0.8524,0,1.679,25,18,2,14355000,68900.0
12,288728,1,1,6.2293,-2.3632,0,1.9152,32,15,2,14436350,81350.0
11,293958,1,1,-4.7238,-3.7102,0,1.559,10,12,2,14697850,261500.0
0,303889,1,1,-6.3137,5.893,0,1.7771,7,31,2,15194400,496550.0
19,320054,1,1,-1.2369,1.8009,0,1.8741,17,23,2,16002650,808250.0
6,330911,1,1,-0.3762,-4.5643,0,1.2661,19,10,2,16545500,542850.0
8,337192,1,1,-2.1682,-5.2579,0,1.3765,15,9,2,16859550,314050.0
5,341794,1,1,-8.1156,6.9942,0,1.9674,3,33,2,17089650,230100.0
18,356454,1,1,4.0847,-9.706,0,1.8658,28,0,2,17822650,733000.0
19,357176,1,1,-6.543,2.262,0,1.6044,6,24,2,17858750,36100.0
13,362593,1,1,3.2826,5.4603,0,1.1157,26,30,2,18129600,270850.0
18,363175,1,1,4.0435,4.1958,0,1.1976,28,28,2,18158700,29100.0
2,366112,1,1,3.5137,-5.3266,0,1.297,27,9,2,18305550,146850.0
17,370915,1,1,2.763,4.7377,0,1.7278,25,29,2,18545700,240150.0
8,371845,1,1,-8.206,-9.6348,0,1.5502,3,0,2,18592200,46500.0
8,377068,1,1,-6.3839,-5.1475,0,1.7759,7,9,2,18853350,261150.0
2,378260,1,1,7.6963,-1.2061,0,1.4763,35,17,2,18912950,59600.0
17,380012,1,1,-5.4812,3.9103,0,1.0886,9,27,2,19000550,87600.0
6,381508,1,1,6.0009,0.4451,0,1.8132,32,20,2,19075350,74800.0
10,389345,1,1,-9.9017,-9.866,0,1.7929,0,0,2,19467200,391850.0
18,397007,1,1,-4.5759,-1.2674,0,1.4008,10,17,2,19850300,383100.0
12,409238,1,1,-7.2344,-4.3265,0,1.0008,5,11,2,20461850,611550.0
1,416758,1,1,4.4505,-5.3215,0,1.0886,28,9,2,20837850,376000.0
7,427123,1,1,2.2593,-3.6308,0,1.8602,24,12,2,21356100,518250.0
14,428105,1,1,-9.2495,3.6927,0,1.0237,1,27,2,21405200,49100.0
14,428644,1,1,-7.1246,-5.4038,0,1.6609,5,9,2,21432150,26950.0
1,439361,1,1,-7.7887,0.665,0,1.2806,4,21,2,21968000,535850.0
7,445156,1,1,4.7044,2.7005,0,1.8616,29,25,2,22257750,289750.0
15,445554,1,1,-6.6537,-3.5645,0,1.6778,6,12,2,22277650,19900.0
8,445961,1,1,-3.0382,-0.2956,0,1.099,13,19,2,22298000,20350.0
2,454648,1,1,-6.051,-2.2115,0,1.9313,7,15,2,22732350,434350.0
12,455353,1,1,-8.7605,3.4958,0,1.9237,2,26,2,22767600,35250.0
4,458304,1,1,-9.0245,-4.5061,0,1.2923,1,10,2,22915150,147550.0
18,463146,1,1,3.9594,1.2802,0,1.8683,27,22,2,23157250,242100.0
13,464910,1,1,-9.1066,-5.2387,0,1.0601,1,9,2,23245450,88200.0
3,465966,1,1,0.7966,-2.897,0,1.0108,21,14,2,23298250,52800.0
7,469098,1,1,-0.3834,2.9083,0,1.5223,19,25,2,23454850,156600.0
4,470632,1,1,6.0206,2.1291,0,1.8593,32,24,2,23531550,76700.0
10,471150,1,1,6.3258,1.8124,0,1.3043,32,23,2,23557450,25900.0
9,472837,1,1,2.6861,2.7619,0,1.4698,25,25,2,23641800,84350.0
10,476532,1,1,-9.5087,-6.0439,0,1.2297,0,7,2,23826550,184750.0
7,478251,1,1,-9.6543,-6.7142,0,1.2032,0,6,2,23912500,85950.0
6,479232,1,1,-1.8692,-5.3454,0,1.4752,16,9,2,23961550,49050.0
10,479286,1,1,0.0275,2.2856,0,1.5035,20,24,2,23964250,2700.0
9,486801,1,1,1.634,-0.7412,0,1.7114,23,18,2,24340000,375750.0
0,490715,1,1,-3.5292,1.766,0,1.0233,12,23,2,24535700,195700.0
10,493271,1,1,4.2764,5.5813,0,1.0069,28,31,2,24663500,127800.0
11,493813,1,1,6.304,0.3554,0,1.5863,32,20,2,24690600,27100.0
5,495006,1,1,7.6621,2.5599,0,1.9339,35,25,2,24750250,59650.0
17,495868,1,1,-6.4175,-4.7538,0,1.3417,7,10,2,24793350,43100.0
9,502578,1,1,-7.3856,-0.9947,0,1.3449,5,18,2,25128850,335500.0
2,509445,1,1,-2.4885,-1.2985,0,1.0298,15,17,2,25472200,343350.0
6,519073,1,1,3.7933,-3.2602,0,1.5845,27,13,2,25953600,481400.0
8,521478,1,1,-9.7387,-6.4494,0,1.7866,0,7,2,26073850,120250.0
4,531840,1,1,-8.1878,5.1543,0,1.5329,3,30,2,26591950,518100.0
11,534439,1,1,-5.6384,5.4652,0,1.3101,8,30,2,26721900,129950.0
5,537755,1,1,-2.9696,-3.6954,0,1.4564,14,12,2,26887700,165800.0
16,539617,1,1,7.5526,0.2241,0,1.0947,35,20,2,26980800,93100.0
2,540398,1,1,-7.4369,-8.1587,0,1.124,5,3,2,27019850,39050.0
9,554280,1,1,6.7633,3.5081,0,1.0695,33,27,2,27713950,694100.0
7,558583,1,1,1.3651,6.6232,0,1.5747,22,33,2,27929100,215150.0
15,561128,1,1,-4.3764,-6.2387,0,1.2441,11,7,2,28056350,127250.0
5,574645,1,1,-8.1414,3.0627,0,1.4085,3,26,2,28732200,675850.0
18,575100,1,1,0.6243,-0.5645,0,1.1694,21,18,2,28754950,22750.0
0,577220,1,1,1.8662,-0.3053,0,1.1025,23,19,2,28860950,106000.0
16,586111,1,1,-6.4464,-3.014,0,1.7808,7,13,2,29305500,444550.0
18,602470,1,1,4.0131,-7.5257,0,1.1991,28,4,2,30123450,817950.0
6,602893,1,1,-2.3455,5.39,0,1.4397,15,30,2,30144600,21150.0
11,605458,1,1,-5.2753,-4.1926,0,1.1604,9,11,2,30272850,128250.0
11,612031,1,1,-1.1733,-4.1197,0,1.2352,17,11,2,30601500,328650.0
16,617092,1,1,3.3419,2.087,0,1.6766,26,24,2,30854550,253050.0
7,639076,1,1,-7.2018,-0.6233,0,1.4397,5,18,2,31953750,1099200.0
7,653389,1,1,1.4426,6.3261,0,1.7171,22,32,2,32669400,715650.0
11,666268,1,1,-5.9574,-2.3247,0,1.9084,8,15,2,33313350,643950.0
12,674967,1,1,-5.8231,3.1577,0,1.0865,8,26,2,33748300,434950.0
15,686256,1,1,2.689,4.2252,0,1.4509,25,28,2,34312750,564450.0
4,691328,1,1,-1.3502,-1.629,0,1.9503,17,16,2,34566350,253600.0
5,694444,1,1,1.5108,6.6934,0,1.2351,23,33,2,34722150,155800.0
9,699546,1,1,2.9484,-8.9578,0,1.1541,25,2,2,34977250,255100.0
8,707845,1,1,-7.6135,3.2363,0,1.0073,4,26,2,35392200,414950.0
0,708089,1,1,-9.8803,0.0463,0,1.5607,0,20,2,35404400,12200.0
4,714742,1,1,-7.8568,2.7655,0,1.9324,4,25,2,35737050,332650.0
11,720052,1,1,-5.7252,-3.5078,0,1.4922,8,12,2,36002550,265500.0
17,723576,1,1,-1.6271,1.4128,0,1.1611,16,22,2,36178750,176200.0
13,739232,1,1,-6.5635,-4.8178,0,1.8677,6,10,2,36961550,782800.0
16,739726,1,1,5.8493,-4.0236,0,1.6954,31,11,2,36986250,24700.0
16,741083,1,1,2.9112,2.4803,0,1.2565,25,24,2,37054100,67850.0
1,743776,1,1,3.8816,5.6268,0,1.7987,27,31,2,37188750,134650.0
14,746878,1,1,-8.8965,5.8633,0,1.2287,2,31,2,37343850,155100.0
13,758678,1,1,5.1675,-6.3192,0,1.3467,30,7,2,37933850,590000.0
16,763402,1,1,-6.9373,-0.177,0,1.7482,6,19,2,38170050,236200.0
1,764109,1,1,4.7413,-1.125,0,1.9284,29,17,2,38205400,35350.0
19,764651,1,1,7.8586,-8.5508,0,1.7783,35,2,2,38232500,27100.0
10,777266,1,1,6.1706,3.3612,0,1.9027,32,26,2,38863250,630750.0
4,781076,1,1,-0.9169,1.6352,0,1.1529,18,23,2,39053750,190500.0
3,783526,1,1,7.231,3.6307,0,1.9581,34,27,2,39176250,122500.0
5,784742,1,1,1.3625,-2.0405,0,1.1025,22,15,2,39237050,60800.0
14,785468,1,1,-6.606,-7.1082,0,1.3821,6,5,2,39273350,36300.0
19,793556,1,1,-4.3775,5.1646,0,1.6138,11,30,2,39677750,404400.0
6,794833,1,1,-7.2484,-9.7956,0,1.5798,5,0,2,39741600,63850.0
13,795937,1,1,2.2595,0.1495,0,1.4744,24,20,2,39796800,55200.0
15,798782,1,1,6.2407,-0.0691,0,1.5004,32,19,2,39939050,142250.0
11,803838,1,1,-2.7766,5.2214,0,1.2096,14,30,2,40191850,252800.0
5,809772,1,1,-6.2222,-5.2219,0,1.193,7,9,2,40488550,296700.0
18,814014,1,1,5.5707,0.9516,0,1.0833,31,21,2,40700650,212100.0
0,814543,1,1,0.005,-5.4928,0,1.3966,20,9,2,40727100,26450.0
12,815025,1,1,-4.1243,5.9204,0,1.804,11,31,2,40751200,24100.0
15,820416,1,1,1.3859,-7.1445,0,1.6092,22,5,2,41020750,269550.0
16,823466,1,1,-9.1396,3.1305,0,1.8751,1,26,2,41173250,152500.0
19,826047,1,1,5.1457,-1.5909,0,1.0772,30,16,2,41302300,129050.0
3,826730,1,1,-7.8299,3.9269,0,1.3481,4,27,2,41336450,34150.0
3,830592,1,1,1.9397,6.4985,0,1.8318,23,32,2,41529550,193100.0
2,832096,1,1,-3.2596,6.2965,0,1.1215,13,32,2,41604750,75200.0
6,833080,1,1,-8.5458,-3.1831,0,1.4729,2,13,2,41653950,49200.0
18,839145,1,1,7.6513,-0.6149,0,1.948,35,18,2,41957200,303250.0
13,839212,1,1,-7.3173,4.8299,0,1.0169,5,29,2,41960550,3350.0
13,839435,1,1,-6.744,-8.0356,0,1.205,6,3,2,41971700,11150.0
0,843834,1,1,-9.6328,-2.2699,0,1.1564,0,15,2,42191650,219950.0
10,847688,1,1,3.3259,-7.9401,0,1.2759,26,4,2,42384350,192700.0
6,848255,1,1,3.2661,6.9817,0,1.9885,26,33,2,42412700,28350.0
4,853287,1,1,1.5959,-5.7361,0,1.8993,23,8,2,42664300,251600.0
19,858208,1,1,-4.6154,-8.484,0,1.5049,10,3,2,42910350,246050.0
6,858424,1,1,0.8982,-3.9244,0,1.5276,21,12,2,42921150,10800.0
12,859369,1,1,4.2161,0.036,0,1.7062,28,20,2,42968400,47250.0
1,865791,1,1,6.0985,-1.8246,0,1.2473,32,16,2,43289500,321100.0
13,870017,1,1,-7.0434,-9.6471,0,1.6625,5,0,2,43500800,211300.0
14,870220,1,1,-1.6778,3.0946,0,1.4203,16,26,2,43510950,10150.0
18,873069,1,1,-0.5411,-7.4055,0,1.4668,18,5,2,43653400,142450.0
18,873663,1,1,6.0556,6.3031,0,1.8892,32,32,2,43683100,29700.0
3,877655,1,1,-4.2808,0.9409,0,1.7978,11,21,2,43882700,199600.0
11,878645,1,1,3.1386,-4.1475,0,1.5817,26,11,2,43932200,49500.0
18,883760,1,1,-7.9077,-5.2451,0,1.4981,4,9,2,44187950,255750.0
3,883887,1,1,3.9122,-2.7617,0,1.9827,27,14,2,44194300,6350.0
16,884798,1,1,5.7625,4.562,0,1.0808,31,29,2,44239850,45550.0
4,885220,1,1,7.4348,-6.4758,0,1.5453,34,7,2,44260950,21100.0
4,888165,1,1,2.1882,-0.4848,0,1.3991,24,19,2,44408200,147250.0
9,890934,1,1,2.3942,-3.8738,0,1.2366,24,12,2,44546650,138450.0
8,894676,1,1,-5.9267,-0.0426,0,1.9078,8,19,2,44733750,187100.0
2,894984,1,1,-1.6926,-8.1833,0,1.3549,16,3,2,44749150,15400.0
17,899775,1,1,-6.9253,2.3242,0,1.3411,6,24,2,44988700,239550.0
1,905939,1,1,7.022,4.901,0,1.1285,34,29,2,45296900,308200.0
12,906547,1,1,-1.1784,-7.6605,0,1.5305,17,4,2,45327300,30400.0
6,909114,1,1,-9.142,0.8991,0,1.8005,1,21,2,45455650,128350.0
4,914192,1,1,-9.6946,-4.3721,0,1.9631,0,11,2,45709550,253900.0
6,915708,1,1,-9.1211,1.1095,0,1.9116,1,22,2,45785350,75800.0
7,920228,1,1,-3.9116,-9.2424,0,1.924,12,1,2,46011350,226000.0
19,927445,1,1,-9.6373,4.8314,0,1.1682,0,29,2,46372200,360850.0
6,932448,1,1,-3.3765,3.378,0,1.3812,13,26,2,46622350,250150.0
0,934170,1,1,-8.7333,2.5431,0,1.5086,2,25,2,46708450,86100.0
5,939122,1,1,0.7061,-8.0411,0,1.123,21,3,2,46956050,247600.0
16,943357,1,1,4.3764,3.3457,0,1.1857,28,26,2,47167800,211750.0
19,947378,1,1,4.9336,-2.4952,0,1.2487,29,15,2,47368850,201050.0
17,952697,1,1,1.2095,-3.7127,0,1.0253,22,12,2,47634800,265950.0
9,952834,1,1,7.5476,0.3613,0,1.7012,35,20,2,47641650,6850.0
2,963404,1,1,-3.0464,-3.4093,0,1.1758,13,13,2,48170150,528500.0
6,971996,1,1,2.575,-1.0695,0,1.8957,25,17,2,48599750,429600.0
15,973915,1,1,-1.6233,-6.954,0,1.4958,16,6,2,48695700,95950.0
11,974527,1,1,-9.9713,-0.3455,0,1.1871,0,19,2,48726300,30600.0
1,976645,1,1,1.8972,5.0281,0,1.635,23,30,2,48832200,105900.0
0,978385,1,1,5.0216,-2.9347,0,1.878,30,14,2,48919200,87000.0
17,979596,1,1,7.7624,-0.3122,0,1.5674,35,19,2,48979750,60550.0
1,981278,1,1,-2.0671,4.1785,0,1.2166,15,28,2,49063850,84100.0
14,985868,1,1,3.0098,3.8014,0,1.7862,26,27,2,49293350,229500.0
19,990363,1,1,1.3582,-6.9806,0,1.8657,22,6,2,49518100,224750.0
5,994105,1,1,1.9967,4.7855,0,1.8309,23,29,2,49705200,187100.0
8,994900,1,1,-2.071,3.6019,0,1.4562,15,27,2,49744950,39750.0
16,1001264,1,1,6.8744,-1.5975,0,1.5708,33,16,2,50063150,318200.0
17,1019891,1,1,2.5756,5.6389,0,1.4158,25,31,2,50994500,931350.0
8,1029351,1,1,2.1906,-8.5022,0,1.8514,24,2,2,51467500,473000.0
4,1029363,1,1,0.5721,-9.5913,0,1.6174,21,0,2,51468100,600.0
0,1030960,1,1,7.9807,-6.6334,0,1.0323,35,6,2,51547950,79850.0
1,1031939,1,1,-6.3148,2.6718,0,1.3908,7,25,2,51596900,48950.0
3,1034662,1,1,-8.8327,4.2807,0,1.6593,2,28,2,51733050,136150.0
2,1035108,1,1,5.7414,-2.8339,0,1.4945,31,14,2,51755350,22300.0
8,1035379,1,1,2.5267,1.7864,0,1.168,25,23,2,51768900,13550.0
0,1037595,1,1,-3.7088,4.221,0,1.3229,12,28,2,51879700,110800.0
10,1037773,1,1,-4.849,-4.6409,0,1.6522,10,10,2,51888600,8900.0
10,1048138,1,1,-5.5755,-5.2125,0,1.1314,8,9,2,52406850,518250.0
13,1061666,1,1,-1.0142,-8.8259,0,1.9861,17,2,2,53083250,676400.0
12,1072828,1,1,6.6293,-1.2475,0,1.7302,33,17,2,53641350,558100.0
15,1075130,1,1,0.791,-1.9337,0,1.6209,21,16,2,53756450,115100.0
14,1080985,1,1,4.7524,2.4204,0,1.8943,29,24,2,54049200,292750.0
12,1081393,1,1,5.5588,1.243,0,1.877,31,22,2,54069600,20400.0
6,1084932,1,1,-6.8728,-5.8041,0,1.0159,6,8,2,54246550,176950.0
5,1089112,1,1,7.0958,4.9582,0,1.3722,34,29,2,54455550,209000.0
16,1089224,1,1,6.6874,6.713,0,1.8481,33,33,2,54461150,5600.0
1,1092333,1,1,7.4255,3.885,0,1.2438,34,27,2,54616600,155450.0
8,1098048,1,1,-4.5569,-9.4728,0,1.891,10,1,2,54902350,285750.0
7,1102658,1,1,7.4513,-5.5541,0,1.7275,34,8,2,55132850,230500.0
2,1105533,1,1,-2.4301,4.168,0,1.2996,15,28,2,55276600,143750.0
5,1118046,1,1,-5.0825,-4.1197,0,1.2236,9,11,2,55902250,625650.0
10,1124643,1,1,-8.3764,-4.37,0,1.7482,3,11,2,56232100,329850.0
11,1128193,1,1,4.7409,-4.3307,0,1.7409,29,11,2,56409600,177500.0
0,1129200,1,1,0.8879,4.8251,0,1.2777,21,29,2,56459950,50350.0
11,1144667,1,1,-5.8935,4.0719,0,1.0693,8,28,2,57233300,773350.0
0,1147628,1,1,-6.0373,1.7794,0,1.3018,7,23,2,57381350,148050.0
1,1149743,1,1,-8.7976,4.9518,0,1.7083,2,29,2,57487100,105750.0
3,1162214,1,1,7.9944,2.5183,0,1.4767,35,25,2,58110650,623550.0
11,1168078,1,1,-9.4968,-6.9266,0,1.053,1,6,2,58403850,293200.0
13,1172792,1,1,7.7424,-7.7282,0,1.6021,35,4,2,58639550,235700.0
3,1183021,1,1,-1.6851,5.3483,0,1.3136,16,30,2,59151000,511450.0
9,1184523,1,1,-3.0898,-9.3093,0,1.5038,13,1,2,59226100,75100.0
18,1185049,1,1,1.108,-5.7372,0,1.5445,22,8,2,59252400,26300.0
8,1187034,1,1,3.9964,0.2586,0,1.8528,27,20,2,59351650,99250.0
5,1187642,1,1,5.9354,-4.5825,0,1.9035,31,10,2,59382050,30400.0
7,1192154,1,1,4.9085,-8.5401,0,1.9895,29,2,2,59607650,225600.0
7,1192447,1,1,7.5687,-4.9508,0,1.7012,35,10,2,59622300,14650.0
5,1196390,1,1,-5.1404,0.3147,0,1.3945,9,20,2,59819450,197150.0
19,1201708,1,1,-7.8622,-6.3265,0,1.4696,4,7,2,60085350,265900.0
4,1201818,1,1,-0.9228,6.4592,0,1.3257,18,32,2,60090850,5500.0
16,1202300,1,1,-4.3277,-6.47,0,1.7073,11,7,2,60114950,24100.0
15,1217603,1,1,-4.9617,-6.6113,0,1.9317,10,6,2,60880100,765150.0
0,1218730,1,1,-7.7523,-6.8976,0,1.2203,4,6,2,60936450,56350.0
9,1224492,1,1,-3.9949,-5.8992,0,1.3459,12,8,2,61224550,288100.0
4,1236153,1,1,-5.8054,3.7786,0,1.412,8,27,2,61807600,583050.0
14,1236242,1,1,-7.7489,-0.8374,0,1.1178,4,18,2,61812050,4450.0
3,1236731,1,1,-2.1758,-9.0366,0,1.8446,15,1,2,61836500,24450.0
4,1252053,1,1,-5.2517,6.096,0,1.0419,9,32,2,62602600,766100.0
6,1252642,1,1,3.8378,-5.8045,0,1.9169,27,8,2,62632050,29450.0
10,1255354,1,1,5.7987,-4.7403,0,1.119,31,10,2,62767650,135600.0
8,1256563,1,1,-1.822,-1.8866,0,1.41,16,16,2,62828100,60450.0
3,1266955,1,1,7.7962,-4.4769,0,1.6128,35,11,2,63347700,519600.0
5,1267129,1,1,0.3596,-8.0823,0,1.8254,20,3,2,63356400,8700.0
4,1272911,1,1,5.008,2.0352,0,1.255,30,24,2,63645500,289100.0
6,1280572,1,1,0.6623,-0.795,0,1.6423,21,18,2,64028550,383050.0
10,1287449,1,1,-6.423,4.7113,0,1.4608,7,29,2,64372400,343850.0
3,1298553,1,1,-0.7687,-0.4588,0,1.4537,18,19,2,64927600,555200.0
5,1305302,1,1,4.5339,0.9696,0,1.4581,29,21,2,65265050,337450.0
3,1306290,1,1,3.4035,-5.2497,0,1.493,26,9,2,65314450,49400.0
14,1307156,1,1,-2.6817,5.9257,0,1.0428,14,31,2,65357750,43300.0
11,1308957,1,1,-5.7924,4.1967,0,1.8376,8,28,2,65447800,90050.0
12,1309470,1,1,3.7265,4.3653,0,1.8275,27,28,2,65473450,25650.0
18,1320994,1,1,3.6316,1.0748,0,1.7181,27,22,2,66049650,576200.0
8,1321762,1,1,3.2773,2.3559,0,1.5706,26,24,2,66088050,38400.0
16,1328934,1,1,-7.4481,0.7452,0,1.1206,5,21,2,66446650,358600.0
5,1339778,1,1,-6.4921,5.692,0,1.9607,7,31,2,66988850,542200.0
6,1348186,1,1,-1.5812,4.0124,0,1.3679,16,28,2,67409250,420400.0
5,1350175,1,1,2.6798,-5.8009,0,1.6829,25,8,2,67508700,99450.0
0,1350242,1,1,0.108,-5.4511,0,1.6054,20,9,2,67512050,3350.0
5,1362043,1,1,-0.6543,2.3175,0,1.8748,18,24,2,68102100,590050.0
8,1375015,1,1,-5.8366,5.8128,0,1.8609,8,31,2,68750700,648600.0
1,1382704,1,1,6.3718,-8.3343,0,1.3245,32,3,2,69135150,384450.0
16,1393930,1,1,6.3551,-2.8071,0,1.7,32,14,2,69696450,561300.0
17,1398166,1,1,0.7224,5.6133,0,1.05,21,31,2,69908250,211800.0
14,1399040,1,1,0.5713,2.5872,0,1.2801,21,25,2,69951950,43700.0
19,1402502,1,1,3.7503,0.9836,0,1.3316,27,21,2,70125050,173100.0
16,1408298,1,1,7.1078,-8.6292,0,1.7888,34,2,2,70414850,289800.0
6,1409360,1,1,0.5285,-2.6886,0,1.7175,21,14,2,70467950,53100.0
8,1430946,1,1,3.7235,-2.3634,0,1.3511,27,15,2,71547250,1079300.0
15,1434882,1,1,2.1815,-3.999,0,1.1125,24,12,2,71744050,196800.0
8,1448956,1,1,-1.3707,-8.0026,0,1.8164,17,3,2,72447750,703700.0
5,1458198,1,1,-4.4669,0.8687,0,1.3792,11,21,2,72909850,462100.0
19,1464142,1,1,-0.2226,-7.485,0,1.4658,19,5,2,73207050,297200.0
10,1468860,1,1,-3.212,-0.3437,0,1.8073,13,19,2,73442950,235900.0
10,1469609,1,1,-9.8942,-4.7754,0,1.6549,0,10,2,73480400,37450.0
14,1472160,1,1,-7.0556,3.4904,0,1.4704,5,26,2,73607950,127550.0
4,1486141,1,1,3.1233,-1.1089,0,1.275,26,17,2,74307000,699050.0
11,1487998,1,1,-9.9821,2.1941,0,1.5002,0,24,2,74399850,92850.0
1,1494164,1,1,3.2054,-1.7594,0,1.195,26,16,2,74708150,308300.0
1,1495938,1,1,-7.4411,6.2064,0,1.3565,5,32,2,74796850,88700.0
9,1497001,1,1,-1.9508,4.0038,0,1.4756,16,28,2,74850000,53150.0
